config,level,round,order_index,batch_id,source_records,elapsed_ms_per_batch,compute_sum_ms_per_batch,cpu_sum_ms_per_batch,other_overhead_ms_per_batch,elapsed_ms_per_record,compute_sum_ms_per_record,other_overhead_ms_per_record,compute_to_float_ms_per_batch,compute_to_float_ms_per_record,cpu_to_float_ms_per_batch,compute_crop_ms_per_batch,compute_crop_ms_per_record,cpu_crop_ms_per_batch,compute_flip_ms_per_batch,compute_flip_ms_per_record,cpu_flip_ms_per_batch
U,0,2,2,53,4,415.845321,25.178003999999998,25.261504000000002,390.667317,103.96133025,6.2945009999999995,97.66682925,3.103306,0.7758265,3.110216,19.463669,4.86591725,19.533506,2.611029,0.65275725,2.617782
U,0,2,2,54,4,400.894588,24.541873,24.631201,376.352715,100.223647,6.13546825,94.08817875,2.826582,0.7066455,2.8338650000000003,19.318822,4.8297055,19.395685,2.396469,0.59911725,2.401651
U,0,2,2,55,4,485.80438,25.641309,26.679678,460.163071,121.451095,6.41032725,115.04076775,3.5926080000000002,0.8981520000000001,3.606786,19.767462000000002,4.9418655000000005,20.770322,2.2812390000000002,0.5703097500000001,2.3025700000000002
U,0,2,2,56,4,603.863596,26.598474,26.659148,577.265122,150.965899,6.6496185,144.3162805,4.196263,1.04906575,4.220691,20.493503,5.12337575,20.527503,1.9087079999999998,0.47717699999999996,1.910954
U,0,2,2,57,4,366.416804,25.221967000000003,25.269819999999996,341.194837,91.604201,6.305491750000001,85.29870925,2.7898739999999997,0.6974684999999999,2.79669,20.06191,5.0154775,20.071444,2.370183,0.59254575,2.4016859999999998
U,0,2,2,58,4,898.450935,29.614390000000004,29.653409,868.836545,224.61273375,7.403597500000001,217.20913625,5.555149,1.38878725,5.582199,21.931099000000003,5.482774750000001,21.939076,2.128142,0.5320355,2.132134
U,0,2,2,59,4,582.87608,27.222643000000005,27.271953000000003,555.6534369999999,145.71902,6.805660750000001,138.91335924999998,3.948951,0.98723775,3.9572010000000004,21.193530000000003,5.298382500000001,21.230192000000002,2.080162,0.5200405,2.0845599999999997
U,0,2,2,60,4,4518.835079,123.08910599999999,124.16864100000002,4395.745973,1129.70876975,30.772276499999997,1098.93649325,85.813362,21.4533405,86.07034200000001,35.132419999999996,8.783104999999999,35.951309,2.143324,0.535831,2.14699
U,0,2,2,61,4,469.751337,21.892047,21.935119,447.85929,117.43783425,5.47301175,111.9648225,2.3171500000000003,0.5792875000000001,2.3466699999999996,17.239425,4.30985625,17.246882,2.3354719999999998,0.5838679999999999,2.341567
U,0,2,2,62,4,340.181194,24.428014,25.869263,315.75318,85.0452985,6.1070035,78.938295,2.658791,0.66469775,4.086838,19.611794,4.9029485,19.621707,2.157429,0.53935725,2.160718
U,0,2,2,63,4,305.047144,24.06764,24.090307000000003,280.979504,76.261786,6.01691,70.244876,2.291832,0.572958,2.298826,19.271853,4.81796325,19.281778,2.503955,0.62598875,2.509703
U,0,2,2,64,4,461.69528,26.204034,26.263707999999998,435.49124600000005,115.42382,6.5510085,108.87281150000001,3.384519,0.84612975,3.39189,20.226667,5.05666675,20.271735999999997,2.592848,0.648212,2.600082
U,0,2,2,65,4,292.75149,24.290295999999998,24.312995,268.461194,73.1878725,6.0725739999999995,67.1152985,2.377488,0.594372,2.384256,19.308099,4.82702475,19.317447,2.6047089999999997,0.6511772499999999,2.611292
U,0,2,2,66,4,353.720939,24.383354,24.474454,329.337585,88.43023475,6.0958385,82.33439625,2.675236,0.668809,2.695533,19.296744,4.824186,19.360737,2.411374,0.6028435,2.4181839999999997
U,0,2,2,67,4,344.628013,24.850789,24.889968999999997,319.777224,86.15700325,6.21269725,79.944306,2.560373,0.64009325,2.566256,19.584001,4.89600025,19.608714,2.706415,0.67660375,2.714999
U,0,2,2,68,4,371.730674,25.088513,25.408657000000005,346.64216100000004,92.9326685,6.27212825,86.66054025000001,2.821617,0.70540425,2.829128,19.474777,4.86869425,19.757834000000003,2.7921190000000005,0.6980297500000001,2.821695
U,0,2,2,69,4,328.877736,23.805494999999997,24.207052000000004,305.072241,82.219434,5.951373749999999,76.26806025,2.428776,0.607194,2.436554,19.26401,4.8160025,19.653012000000004,2.1127089999999997,0.5281772499999999,2.117486
U,0,2,2,70,4,355.813594,24.391278,24.446236,331.422316,88.9533985,6.0978195,82.855579,2.680044,0.670011,2.700117,19.518785,4.87969625,19.52829,2.192449,0.54811225,2.217829
U,0,2,2,71,4,437.816304,26.363682999999998,26.412262000000002,411.452621,109.454076,6.5909207499999996,102.86315525,3.2094769999999997,0.8023692499999999,3.215947,20.625808,5.156452,20.661718,2.528398,0.6320995,2.534597
U,0,2,2,72,4,459.287713,25.241794,25.300943,434.045919,114.82192825,6.3104485,108.51147975,3.327555,0.83188875,3.352672,19.719656999999998,4.9299142499999995,19.749169000000002,2.194582,0.5486455,2.199102
U,0,2,2,73,4,612.398366,27.04726,27.235356000000003,585.351106,153.0995915,6.761815,146.3377765,4.297275,1.07431875,4.329329,20.482556000000002,5.120639000000001,20.613914,2.267429,0.56685725,2.292113
U,0,2,2,74,4,378.149765,24.71539,24.757295000000003,353.434375,94.53744125,6.1788475,88.35859375,2.812137,0.70303425,2.819507,19.45633,4.8640825,19.483878,2.446923,0.61173075,2.45391
U,0,2,2,75,4,589.807991,31.440935000000003,31.464218000000002,558.367056,147.45199775,7.860233750000001,139.591764,8.448697,2.11217425,8.457423,20.541175000000003,5.135293750000001,20.550071,2.4510630000000004,0.6127657500000001,2.456724
U,0,2,2,76,4,435.538918,26.039658999999997,26.086633000000003,409.49925900000005,108.8847295,6.509914749999999,102.37481475000001,3.1889749999999997,0.7972437499999999,3.196151,20.230598999999998,5.0576497499999995,20.262424000000003,2.6200849999999996,0.6550212499999999,2.628058
U,0,2,2,77,4,426.966225,26.707282,26.752359,400.258943,106.74155625,6.6768205,100.06473575,3.2770339999999996,0.8192584999999999,3.28437,20.787629,5.19690725,20.818084,2.642619,0.66065475,2.649905
U,0,2,2,78,4,1781.486138,76.27313099999998,76.524871,1705.213007,445.3715345,19.068282749999995,426.30325175,46.74249999999999,11.685624999999998,46.748706,27.193216999999997,6.798304249999999,27.432973,2.337414,0.5843535,2.343192
U,0,2,2,79,4,519.600351,23.835428999999998,23.890893,495.76492200000007,129.90008775,5.958857249999999,123.94123050000002,3.4719979999999997,0.8679994999999999,3.480581,17.589526,4.3973815,17.627598999999996,2.773905,0.69347625,2.7827129999999998
